dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim
deeprecon,art_dropout-random_0.5_03,AM,1,0.9487179487179487,0.5897435897435898,0.48717948717948717,0.4358974358974359,0.9441831,0.6475892,0.11781913170068745,0.2960938733809476,0.938810408115387
deeprecon,art_dropout-random_0.5_03,AM,2,0.8461538461538461,0.3076923076923077,0.8205128205128205,0.9743589743589743,1.0551763,0.73150194,-0.2353770327013325,0.21000708159685233,0.9232078194618225
deeprecon,art_dropout-random_0.5_03,AM,3,0.8717948717948718,0.5641025641025641,1.0,0.9743589743589743,1.0062573,0.6781814,0.08979631777941591,0.19276664412472413,0.8986308574676514
deeprecon,art_dropout-random_0.5_03,AM,4,0.05128205128205128,0.8974358974358975,0.9230769230769231,0.9487179487179487,0.9739502,0.4747334,0.5649675385651014,0.7081629012266748,0.8568402528762817
deeprecon,art_dropout-random_0.5_03,AM,5,0.2564102564102564,0.15384615384615385,0.8974358974358975,1.0,0.9909643,0.7549071,0.10018259028859756,0.12312560118822148,0.7689093947410583
deeprecon,art_dropout-random_0.5_03,AM,6,0.1794871794871795,0.5384615384615384,0.5897435897435898,0.7692307692307693,1.0488216,0.7646389,0.09990424319959267,0.0612087120900212,0.9304850697517395
deeprecon,art_dropout-random_0.5_03,AM,7,0.5641025641025641,0.9487179487179487,1.0,0.9230769230769231,0.9574395,0.6826563,0.30693849542209667,0.21111633934016474,0.8804448843002319
deeprecon,art_dropout-random_0.5_03,AM,8,0.9743589743589743,0.02564102564102564,0.9230769230769231,0.7948717948717948,1.037853,0.6593181,0.23542368826944204,0.3681949485515055,0.9013929963111877
deeprecon,art_dropout-random_0.5_03,AM,9,0.10256410256410256,0.5128205128205128,1.0,0.8974358974358975,0.99084896,0.7517338,-0.08702806932546377,0.08986295281572614,0.882298469543457
deeprecon,art_dropout-random_0.5_03,AM,10,0.7948717948717948,0.717948717948718,0.7948717948717948,0.8461538461538461,0.9547671,0.4962849,0.2943166781874919,0.7756743688612147,0.8411499261856079
deeprecon,art_dropout-random_0.5_03,AM,11,0.8461538461538461,0.6666666666666666,0.717948717948718,0.6923076923076923,1.011294,0.58375996,-0.0028562172591057246,0.7243284092116534,0.9082434773445129
deeprecon,art_dropout-random_0.5_03,AM,12,0.7692307692307693,0.28205128205128205,0.9487179487179487,0.8717948717948718,1.0007619,0.57165587,0.18338939834380455,0.6211075658598562,0.7906068563461304
deeprecon,art_dropout-random_0.5_03,AM,13,1.0,0.717948717948718,0.9487179487179487,1.0,0.97723395,0.7602097,0.3341348075383154,0.1212214534541357,0.768340528011322
deeprecon,art_dropout-random_0.5_03,AM,14,0.9487179487179487,0.6153846153846154,0.7948717948717948,0.7948717948717948,0.94510734,0.5417781,-0.4836498527772992,0.7620029872846862,0.8713703155517578
deeprecon,art_dropout-random_0.5_03,AM,15,0.6923076923076923,0.9743589743589743,0.9743589743589743,0.48717948717948717,1.0177743,0.6922321,-0.109926483222128,0.24739318119663362,0.8148635625839233
deeprecon,art_dropout-random_0.5_03,AM,16,0.7435897435897436,0.3076923076923077,0.9487179487179487,0.9743589743589743,0.94569504,0.49149162,0.18673197973008174,0.6939770044832452,0.8701536655426025
deeprecon,art_dropout-random_0.5_03,AM,17,0.5384615384615384,0.717948717948718,0.9743589743589743,0.9487179487179487,0.99275005,0.76431066,0.07510307026475296,0.1388464688719153,0.8669190406799316
deeprecon,art_dropout-random_0.5_03,AM,18,0.5384615384615384,0.9487179487179487,0.8974358974358975,0.9487179487179487,1.0204941,0.7040532,0.04204446103638146,0.24476497450446652,0.7604218125343323
deeprecon,art_dropout-random_0.5_03,AM,19,0.07692307692307693,0.6666666666666666,0.9230769230769231,0.8461538461538461,1.0134555,0.6570356,0.09163885338168946,0.2733211806464169,0.8752678632736206
deeprecon,art_dropout-random_0.5_03,AM,20,0.8205128205128205,0.8205128205128205,0.8717948717948718,0.9230769230769231,0.94876814,0.4181769,0.1897717382085139,0.7812782810794053,0.8798530697822571
deeprecon,art_dropout-random_0.5_03,AM,21,0.8974358974358975,0.3333333333333333,0.6923076923076923,0.7692307692307693,0.9843176,0.48598832,0.10868175928980305,0.707285890825654,0.869572103023529
deeprecon,art_dropout-random_0.5_03,AM,22,0.7435897435897436,0.20512820512820512,0.20512820512820512,0.9487179487179487,1.0392178,0.627462,0.11489950581909801,0.2443960215325929,0.874673068523407
