,ft_name,profile_corr,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
3,clipvision_final,0.2092932074238305,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
4,clipvision_patches,0.0791648288177022,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,NO_PERT,,,,,
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,NO_PERT,,,,,
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,NO_PERT,,,,,
3,clipvision_final,0.0520840530226814,deeprecon,AM,art,brain_diffuser,NO_PERT,,,,,
4,clipvision_patches,0.050445370025219,deeprecon,AM,art,brain_diffuser,NO_PERT,,,,,
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0,5,,
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0,5,,
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0,5,,
3,clipvision_final,0.2118566409602272,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0,5,,
4,clipvision_patches,0.0709926221817549,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0,5,,
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0,5,,
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0,5,,
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0,5,,
3,clipvision_final,0.050901457305204,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0,5,,
4,clipvision_patches,0.0404258559969069,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0,5,,
