,ft_name,profile_corr,prompt_name,mixing,badshuffle,usetruecliptext,dataset,sub,test_dataset,algorithm
0,vdvae,0.0009011868319283,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686459908939,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.2321829389270917,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480641026884,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487319829203,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686459908939,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.2321829389270917,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480641026884,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487319829203,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
