ft_name,profile_corr,dataset,sub,test_dataset,algorithm
vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser
clipvision_final,0.2092932074238305,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0791648288177022,deeprecon,AM,test,brain_diffuser
vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0520840530226814,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.050445370025219,deeprecon,AM,art,brain_diffuser
vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser
cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser
cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser
clipvision_final,0.2196085868280097,deeprecon,KS,test,brain_diffuser
clipvision_patches,0.0854864301989547,deeprecon,KS,test,brain_diffuser
vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser
cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser
cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser
clipvision_final,0.0347333832324695,deeprecon,KS,art,brain_diffuser
clipvision_patches,0.0450588054462712,deeprecon,KS,art,brain_diffuser
vdvae,0.0008130674636661,deeprecon,ES,test,brain_diffuser
cliptext_final,0.2780724714847875,deeprecon,ES,test,brain_diffuser
cliptext_tokens,0.270412758397955,deeprecon,ES,test,brain_diffuser
clipvision_final,0.2398393072050076,deeprecon,ES,test,brain_diffuser
clipvision_patches,0.0932072247677595,deeprecon,ES,test,brain_diffuser
vdvae,0.0004734029439754,deeprecon,ES,art,brain_diffuser
cliptext_final,0.0478186523217342,deeprecon,ES,art,brain_diffuser
cliptext_tokens,0.0589016005025498,deeprecon,ES,art,brain_diffuser
clipvision_final,0.0253209730737066,deeprecon,ES,art,brain_diffuser
clipvision_patches,0.0427280975040695,deeprecon,ES,art,brain_diffuser
vdvae,0.0008293445328541,deeprecon,JK,test,brain_diffuser
cliptext_final,0.2625327665162527,deeprecon,JK,test,brain_diffuser
cliptext_tokens,0.2569457062446137,deeprecon,JK,test,brain_diffuser
clipvision_final,0.2164704120609432,deeprecon,JK,test,brain_diffuser
clipvision_patches,0.0857074531092917,deeprecon,JK,test,brain_diffuser
vdvae,0.0002244844750728,deeprecon,JK,art,brain_diffuser
cliptext_final,0.025907488543502,deeprecon,JK,art,brain_diffuser
cliptext_tokens,0.0374040688102292,deeprecon,JK,art,brain_diffuser
clipvision_final,0.0206615461186872,deeprecon,JK,art,brain_diffuser
clipvision_patches,0.0494550097968886,deeprecon,JK,art,brain_diffuser
vdvae,9.839283013344923e-05,deeprecon,JP,test,brain_diffuser
cliptext_final,0.2370350550944773,deeprecon,JP,test,brain_diffuser
cliptext_tokens,0.2275543228689323,deeprecon,JP,test,brain_diffuser
clipvision_final,0.1902324264451628,deeprecon,JP,test,brain_diffuser
clipvision_patches,0.0735170258525837,deeprecon,JP,test,brain_diffuser
vdvae,0.0017159621957595,deeprecon,JP,art,brain_diffuser
cliptext_final,0.0170835392602909,deeprecon,JP,art,brain_diffuser
cliptext_tokens,0.0362943095605364,deeprecon,JP,art,brain_diffuser
clipvision_final,0.0228686259654931,deeprecon,JP,art,brain_diffuser
clipvision_patches,0.0417986190270575,deeprecon,JP,art,brain_diffuser
vdvae,0.0003886268086613,deeprecon,TH,test,brain_diffuser
cliptext_final,0.2388539237483492,deeprecon,TH,test,brain_diffuser
cliptext_tokens,0.2347889460423573,deeprecon,TH,test,brain_diffuser
clipvision_final,0.1984578298416035,deeprecon,TH,test,brain_diffuser
clipvision_patches,0.0784653122628871,deeprecon,TH,test,brain_diffuser
vdvae,0.0007486946736459,deeprecon,TH,art,brain_diffuser
cliptext_final,0.0376248280102165,deeprecon,TH,art,brain_diffuser
cliptext_tokens,0.0596601238468886,deeprecon,TH,art,brain_diffuser
clipvision_final,0.0203276809472884,deeprecon,TH,art,brain_diffuser
clipvision_patches,0.0440239975422875,deeprecon,TH,art,brain_diffuser
conv1_1,0.1716021136401566,deeprecon,AM,test,icnn
conv1_2,0.1439366816188221,deeprecon,AM,test,icnn
conv2_1,0.1548619020878693,deeprecon,AM,test,icnn
conv2_2,0.0885742144765579,deeprecon,AM,test,icnn
conv3_1,0.160609312334112,deeprecon,AM,test,icnn
conv3_2,0.1792049586636523,deeprecon,AM,test,icnn
conv3_3,0.2294619050137482,deeprecon,AM,test,icnn
conv3_4,0.2040810719153392,deeprecon,AM,test,icnn
conv4_1,0.2708623957901153,deeprecon,AM,test,icnn
conv4_2,0.2494231445096578,deeprecon,AM,test,icnn
conv4_3,0.2221699077909276,deeprecon,AM,test,icnn
conv4_4,0.234564501478306,deeprecon,AM,test,icnn
conv5_1,0.2939435609047704,deeprecon,AM,test,icnn
conv5_2,0.3012495974078009,deeprecon,AM,test,icnn
conv5_3,0.2931171327346545,deeprecon,AM,test,icnn
conv5_4,0.2885244231047926,deeprecon,AM,test,icnn
fc6,0.3396105329358197,deeprecon,AM,test,icnn
fc7,0.3102905315019705,deeprecon,AM,test,icnn
fc8,0.4711253858269719,deeprecon,AM,test,icnn
conv1_1,0.205644999716368,deeprecon,AM,art,icnn
conv1_2,0.0963792091180657,deeprecon,AM,art,icnn
conv2_1,0.0705283139070246,deeprecon,AM,art,icnn
conv2_2,0.0649550474204146,deeprecon,AM,art,icnn
conv3_1,0.0251226613447234,deeprecon,AM,art,icnn
conv3_2,0.0530984347147922,deeprecon,AM,art,icnn
conv3_3,0.1454793660948557,deeprecon,AM,art,icnn
conv3_4,0.0577076726448279,deeprecon,AM,art,icnn
conv4_1,0.1041604726875915,deeprecon,AM,art,icnn
conv4_2,0.1211427806821451,deeprecon,AM,art,icnn
conv4_3,0.1723862668105635,deeprecon,AM,art,icnn
conv4_4,0.4183705551974149,deeprecon,AM,art,icnn
conv5_1,0.2742346501847333,deeprecon,AM,art,icnn
conv5_2,0.3112303669413588,deeprecon,AM,art,icnn
conv5_3,0.311351413621439,deeprecon,AM,art,icnn
conv5_4,0.4604917931310873,deeprecon,AM,art,icnn
fc6,0.1739535145904561,deeprecon,AM,art,icnn
fc7,0.2110565626850513,deeprecon,AM,art,icnn
fc8,0.1027594256454085,deeprecon,AM,art,icnn
conv1_1,0.1603298144448575,deeprecon,KS,test,icnn
conv1_2,0.1449508681175156,deeprecon,KS,test,icnn
conv2_1,0.1613013041465486,deeprecon,KS,test,icnn
conv2_2,0.0969372128766595,deeprecon,KS,test,icnn
conv3_1,0.1688151159700362,deeprecon,KS,test,icnn
conv3_2,0.1910693350019899,deeprecon,KS,test,icnn
conv3_3,0.2468509447993407,deeprecon,KS,test,icnn
conv3_4,0.2207963120410196,deeprecon,KS,test,icnn
conv4_1,0.2888221384064473,deeprecon,KS,test,icnn
conv4_2,0.2684580289906208,deeprecon,KS,test,icnn
conv4_3,0.2399074843443003,deeprecon,KS,test,icnn
conv4_4,0.2537728015869688,deeprecon,KS,test,icnn
conv5_1,0.3108791099125529,deeprecon,KS,test,icnn
conv5_2,0.3143727418452341,deeprecon,KS,test,icnn
conv5_3,0.310305222340041,deeprecon,KS,test,icnn
conv5_4,0.3071952858079687,deeprecon,KS,test,icnn
fc6,0.3580254582876992,deeprecon,KS,test,icnn
fc7,0.3325475745196617,deeprecon,KS,test,icnn
fc8,0.4834873841872946,deeprecon,KS,test,icnn
conv1_1,0.1706272831451283,deeprecon,KS,art,icnn
conv1_2,0.0851858159423518,deeprecon,KS,art,icnn
conv2_1,0.0629324620962063,deeprecon,KS,art,icnn
conv2_2,0.0630448899563319,deeprecon,KS,art,icnn
conv3_1,0.017520040415105,deeprecon,KS,art,icnn
conv3_2,0.0449276414253763,deeprecon,KS,art,icnn
conv3_3,0.1435263122847953,deeprecon,KS,art,icnn
conv3_4,0.0516847069329321,deeprecon,KS,art,icnn
conv4_1,0.1000168409305664,deeprecon,KS,art,icnn
conv4_2,0.1230498559941731,deeprecon,KS,art,icnn
conv4_3,0.1805857134293249,deeprecon,KS,art,icnn
conv4_4,0.4195261728055414,deeprecon,KS,art,icnn
conv5_1,0.2673962181534757,deeprecon,KS,art,icnn
conv5_2,0.3137629375348774,deeprecon,KS,art,icnn
conv5_3,0.3239708196941857,deeprecon,KS,art,icnn
conv5_4,0.4544977845536448,deeprecon,KS,art,icnn
fc6,0.1739738104362911,deeprecon,KS,art,icnn
fc7,0.2489717024867866,deeprecon,KS,art,icnn
fc8,0.1567427515123122,deeprecon,KS,art,icnn
conv1_1,0.1814628174955779,deeprecon,ES,test,icnn
conv1_2,0.1495988504485405,deeprecon,ES,test,icnn
conv2_1,0.1611222011603001,deeprecon,ES,test,icnn
conv2_2,0.0961950546066243,deeprecon,ES,test,icnn
conv3_1,0.1695556341428365,deeprecon,ES,test,icnn
conv3_2,0.1904784711522945,deeprecon,ES,test,icnn
conv3_3,0.2370883944523042,deeprecon,ES,test,icnn
conv3_4,0.2154142268352394,deeprecon,ES,test,icnn
conv4_1,0.2781224039985164,deeprecon,ES,test,icnn
conv4_2,0.2603241744978842,deeprecon,ES,test,icnn
conv4_3,0.2314465950536897,deeprecon,ES,test,icnn
conv4_4,0.237299204043561,deeprecon,ES,test,icnn
conv5_1,0.3011158617553909,deeprecon,ES,test,icnn
conv5_2,0.3138331273081493,deeprecon,ES,test,icnn
conv5_3,0.3122524920604091,deeprecon,ES,test,icnn
conv5_4,0.3129833067493557,deeprecon,ES,test,icnn
fc6,0.3648242720683738,deeprecon,ES,test,icnn
fc7,0.3481425804460412,deeprecon,ES,test,icnn
fc8,0.5063111406080487,deeprecon,ES,test,icnn
conv1_1,0.1215762258451844,deeprecon,ES,art,icnn
conv1_2,0.0573790303083427,deeprecon,ES,art,icnn
conv2_1,0.0468872769338695,deeprecon,ES,art,icnn
conv2_2,0.0560438862190906,deeprecon,ES,art,icnn
conv3_1,0.0179367694053936,deeprecon,ES,art,icnn
conv3_2,0.0476710549314278,deeprecon,ES,art,icnn
conv3_3,0.1406721031028589,deeprecon,ES,art,icnn
conv3_4,0.0529666547008938,deeprecon,ES,art,icnn
conv4_1,0.1036862326977697,deeprecon,ES,art,icnn
conv4_2,0.1296724963581284,deeprecon,ES,art,icnn
conv4_3,0.1857337132051835,deeprecon,ES,art,icnn
conv4_4,0.4308290464460559,deeprecon,ES,art,icnn
conv5_1,0.2707342280136466,deeprecon,ES,art,icnn
conv5_2,0.319273533774086,deeprecon,ES,art,icnn
conv5_3,0.3375254161998242,deeprecon,ES,art,icnn
conv5_4,0.4887844418604612,deeprecon,ES,art,icnn
fc6,0.1826585603484872,deeprecon,ES,art,icnn
fc7,0.2658715469918422,deeprecon,ES,art,icnn
fc8,0.1706564043904814,deeprecon,ES,art,icnn
conv1_1,0.1544407658143629,deeprecon,JK,test,icnn
conv1_2,0.1337115750150747,deeprecon,JK,test,icnn
conv2_1,0.1508317441603092,deeprecon,JK,test,icnn
conv2_2,0.0887482833314318,deeprecon,JK,test,icnn
conv3_1,0.160805903111329,deeprecon,JK,test,icnn
conv3_2,0.1829046030916587,deeprecon,JK,test,icnn
conv3_3,0.2356897086662736,deeprecon,JK,test,icnn
conv3_4,0.2097839432197343,deeprecon,JK,test,icnn
conv4_1,0.2774294468108632,deeprecon,JK,test,icnn
conv4_2,0.2572450228737138,deeprecon,JK,test,icnn
conv4_3,0.2318910273479564,deeprecon,JK,test,icnn
conv4_4,0.2467594620593764,deeprecon,JK,test,icnn
conv5_1,0.3060665875673749,deeprecon,JK,test,icnn
conv5_2,0.314414478957714,deeprecon,JK,test,icnn
conv5_3,0.3103425368717066,deeprecon,JK,test,icnn
conv5_4,0.3308426827334607,deeprecon,JK,test,icnn
fc6,0.3589788271110479,deeprecon,JK,test,icnn
fc7,0.342380774501045,deeprecon,JK,test,icnn
fc8,0.4644523722668552,deeprecon,JK,test,icnn
conv1_1,0.134161294878274,deeprecon,JK,art,icnn
conv1_2,0.0482704770243526,deeprecon,JK,art,icnn
conv2_1,0.0347432699388355,deeprecon,JK,art,icnn
conv2_2,0.050670829101293,deeprecon,JK,art,icnn
conv3_1,0.0153220422711494,deeprecon,JK,art,icnn
conv3_2,0.0451307318701167,deeprecon,JK,art,icnn
conv3_3,0.1443142016138225,deeprecon,JK,art,icnn
conv3_4,0.0584070222656928,deeprecon,JK,art,icnn
conv4_1,0.1033638819711338,deeprecon,JK,art,icnn
conv4_2,0.1275986476122972,deeprecon,JK,art,icnn
conv4_3,0.1820355008554616,deeprecon,JK,art,icnn
conv4_4,0.420735433524954,deeprecon,JK,art,icnn
conv5_1,0.2775874580743732,deeprecon,JK,art,icnn
conv5_2,0.3070089712827694,deeprecon,JK,art,icnn
conv5_3,0.3100601693611649,deeprecon,JK,art,icnn
conv5_4,0.4289314916522454,deeprecon,JK,art,icnn
fc6,0.1805403931540519,deeprecon,JK,art,icnn
fc7,0.2446897756559775,deeprecon,JK,art,icnn
fc8,0.1537826051209125,deeprecon,JK,art,icnn
conv1_1,0.1387688487907013,deeprecon,JP,test,icnn
conv1_2,0.1172985386635463,deeprecon,JP,test,icnn
conv2_1,0.1332885781623669,deeprecon,JP,test,icnn
conv2_2,0.0767756677974799,deeprecon,JP,test,icnn
conv3_1,0.13657207383684,deeprecon,JP,test,icnn
conv3_2,0.1521472838980971,deeprecon,JP,test,icnn
conv3_3,0.1988849013215492,deeprecon,JP,test,icnn
conv3_4,0.1754846991588236,deeprecon,JP,test,icnn
conv4_1,0.2291176577610466,deeprecon,JP,test,icnn
conv4_2,0.2103665327895738,deeprecon,JP,test,icnn
conv4_3,0.186806330131777,deeprecon,JP,test,icnn
conv4_4,0.2000649626635574,deeprecon,JP,test,icnn
conv5_1,0.2528386279845303,deeprecon,JP,test,icnn
conv5_2,0.2620264629625309,deeprecon,JP,test,icnn
conv5_3,0.2623332619438455,deeprecon,JP,test,icnn
conv5_4,0.2707947640324844,deeprecon,JP,test,icnn
fc6,0.3282694765597451,deeprecon,JP,test,icnn
fc7,0.302629946778912,deeprecon,JP,test,icnn
fc8,0.4534596080940048,deeprecon,JP,test,icnn
conv1_1,0.1239249795181819,deeprecon,JP,art,icnn
conv1_2,0.0376693139281003,deeprecon,JP,art,icnn
conv2_1,0.0222124748773076,deeprecon,JP,art,icnn
conv2_2,0.032379281893971,deeprecon,JP,art,icnn
conv3_1,-0.0082106084280408,deeprecon,JP,art,icnn
conv3_2,0.0140169264969726,deeprecon,JP,art,icnn
conv3_3,0.1097715619294978,deeprecon,JP,art,icnn
conv3_4,0.0266936353395871,deeprecon,JP,art,icnn
conv4_1,0.050255841078401,deeprecon,JP,art,icnn
conv4_2,0.0638444127375506,deeprecon,JP,art,icnn
conv4_3,0.1312783490335662,deeprecon,JP,art,icnn
conv4_4,0.3590887978741195,deeprecon,JP,art,icnn
conv5_1,0.2152707599782148,deeprecon,JP,art,icnn
conv5_2,0.2293564355095307,deeprecon,JP,art,icnn
conv5_3,0.2299137314027156,deeprecon,JP,art,icnn
conv5_4,0.3278512089932775,deeprecon,JP,art,icnn
fc6,0.1477732598460058,deeprecon,JP,art,icnn
fc7,0.1758560161107843,deeprecon,JP,art,icnn
fc8,0.0974091287008835,deeprecon,JP,art,icnn
conv1_1,0.1575783905597966,deeprecon,TH,test,icnn
conv1_2,0.1360082582906952,deeprecon,TH,test,icnn
conv2_1,0.1552455081332086,deeprecon,TH,test,icnn
conv2_2,0.0924777490360359,deeprecon,TH,test,icnn
conv3_1,0.1590626563906069,deeprecon,TH,test,icnn
conv3_2,0.1796671341839117,deeprecon,TH,test,icnn
conv3_3,0.2325898138616721,deeprecon,TH,test,icnn
conv3_4,0.2054493102784062,deeprecon,TH,test,icnn
conv4_1,0.2698780422123011,deeprecon,TH,test,icnn
conv4_2,0.2506663881576852,deeprecon,TH,test,icnn
conv4_3,0.2253976419943997,deeprecon,TH,test,icnn
conv4_4,0.2389296314955135,deeprecon,TH,test,icnn
conv5_1,0.2935911641541077,deeprecon,TH,test,icnn
conv5_2,0.2991188085163924,deeprecon,TH,test,icnn
conv5_3,0.2935734067381684,deeprecon,TH,test,icnn
conv5_4,0.2954720396922766,deeprecon,TH,test,icnn
fc6,0.3315839719311062,deeprecon,TH,test,icnn
fc7,0.2978043983981061,deeprecon,TH,test,icnn
fc8,0.4387379786387251,deeprecon,TH,test,icnn
conv1_1,0.1290874351141613,deeprecon,TH,art,icnn
conv1_2,0.0574198491658723,deeprecon,TH,art,icnn
conv2_1,0.0431539325174774,deeprecon,TH,art,icnn
conv2_2,0.0571874330843408,deeprecon,TH,art,icnn
conv3_1,0.0130135320643233,deeprecon,TH,art,icnn
conv3_2,0.0425564844329734,deeprecon,TH,art,icnn
conv3_3,0.1363986523342806,deeprecon,TH,art,icnn
conv3_4,0.0481076337576292,deeprecon,TH,art,icnn
conv4_1,0.0926156213281167,deeprecon,TH,art,icnn
conv4_2,0.1157577939977484,deeprecon,TH,art,icnn
conv4_3,0.1749262794846113,deeprecon,TH,art,icnn
conv4_4,0.4033576840345275,deeprecon,TH,art,icnn
conv5_1,0.2495762723840924,deeprecon,TH,art,icnn
conv5_2,0.2900419333091281,deeprecon,TH,art,icnn
conv5_3,0.3138459189334969,deeprecon,TH,art,icnn
conv5_4,0.40481588727506,deeprecon,TH,art,icnn
fc6,0.179692358074867,deeprecon,TH,art,icnn
fc7,0.2346343649488668,deeprecon,TH,art,icnn
fc8,0.1415926698843545,deeprecon,TH,art,icnn
