ft_name,profile_corr,dropout_algorithm,dropout_ratio,dropout_trial,dataset,sub,test_dataset,algorithm
vdvae,0.0009011868319283,no-dropout,1.0,0,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2356686417645258,no-dropout,1.0,0,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2321829363523685,no-dropout,1.0,0,deeprecon,AM,test,brain_diffuser
clipvision_final,0.2092932074238305,no-dropout,1.0,0,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0791648288177022,no-dropout,1.0,0,deeprecon,AM,test,brain_diffuser
vdvae,0.0007363701676746,no-dropout,1.0,0,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0576480644279152,no-dropout,1.0,0,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0819487312847905,no-dropout,1.0,0,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0520840530226814,no-dropout,1.0,0,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.050445370025219,no-dropout,1.0,0,deeprecon,AM,art,brain_diffuser
vdvae,0.0010726657888461,dropout-random,0.1,0,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1447358161666181,dropout-random,0.1,0,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1412355835129952,dropout-random,0.1,0,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1226257968007879,dropout-random,0.1,0,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0347402374965343,dropout-random,0.1,0,deeprecon,AM,test,brain_diffuser
vdvae,0.0007380382213883,dropout-random,0.1,0,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0029578903806041,dropout-random,0.1,0,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0123829815146631,dropout-random,0.1,0,deeprecon,AM,art,brain_diffuser
clipvision_final,0.006046141105026,dropout-random,0.1,0,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0247728386824804,dropout-random,0.1,0,deeprecon,AM,art,brain_diffuser
vdvae,0.000870087720548,dropout-random,0.25,0,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1880576636744284,dropout-random,0.25,0,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1849547542731858,dropout-random,0.25,0,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1613935740106332,dropout-random,0.25,0,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0523569786070412,dropout-random,0.25,0,deeprecon,AM,test,brain_diffuser
vdvae,0.0018101438959472,dropout-random,0.25,0,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0184588296802205,dropout-random,0.25,0,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0347371154920885,dropout-random,0.25,0,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0390252525925941,dropout-random,0.25,0,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0375194010675982,dropout-random,0.25,0,deeprecon,AM,art,brain_diffuser
vdvae,0.0014775527817032,dropout-random,0.5,0,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2067410374873494,dropout-random,0.5,0,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2038419679803243,dropout-random,0.5,0,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1842014887506143,dropout-random,0.5,0,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0658575685683582,dropout-random,0.5,0,deeprecon,AM,test,brain_diffuser
vdvae,0.0018664375426058,dropout-random,0.5,0,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0416379254005969,dropout-random,0.5,0,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0607071535871166,dropout-random,0.5,0,deeprecon,AM,art,brain_diffuser
clipvision_final,0.038037278778243,dropout-random,0.5,0,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0439688854206927,dropout-random,0.5,0,deeprecon,AM,art,brain_diffuser
vdvae,0.0012231463748067,dropout-random,0.75,0,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2208469282704824,dropout-random,0.75,0,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2169967808400198,dropout-random,0.75,0,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1975044094319907,dropout-random,0.75,0,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0737814895971719,dropout-random,0.75,0,deeprecon,AM,test,brain_diffuser
vdvae,0.000568898860428,dropout-random,0.75,0,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0455411154955268,dropout-random,0.75,0,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0688516159564343,dropout-random,0.75,0,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0459833446078279,dropout-random,0.75,0,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0464236506436391,dropout-random,0.75,0,deeprecon,AM,art,brain_diffuser
vdvae,0.0001828601506445,dropout-random,0.1,1,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1289752376987894,dropout-random,0.1,1,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1292757815158256,dropout-random,0.1,1,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1183901106127531,dropout-random,0.1,1,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0317279031512001,dropout-random,0.1,1,deeprecon,AM,test,brain_diffuser
vdvae,0.0003576169910013,dropout-random,0.1,1,deeprecon,AM,art,brain_diffuser
cliptext_final,0.037250421641417,dropout-random,0.1,1,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0477200418765415,dropout-random,0.1,1,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0387443468205464,dropout-random,0.1,1,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0207009749155644,dropout-random,0.1,1,deeprecon,AM,art,brain_diffuser
vdvae,0.0009576744230239,dropout-random,0.25,1,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1624854717577117,dropout-random,0.25,1,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1622519489019456,dropout-random,0.25,1,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1434748308940192,dropout-random,0.25,1,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0464650124272426,dropout-random,0.25,1,deeprecon,AM,test,brain_diffuser
vdvae,0.0007863657614479,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
cliptext_final,-0.0012726243095828,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0121484605431146,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0312245466256833,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0346322583107567,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
vdvae,0.0015982649638747,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2129681083377295,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2090369670523028,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1834062702134294,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
